Loaded parameters to layer 'conv1' (shape 50x4x3x3).
Loaded parameters to layer 'conv1' (shape 50).
Loaded parameters to layer 'conv2' (shape 50x50x3x3).
Loaded parameters to layer 'conv2' (shape 50).
Loaded parameters to layer 'nin1' (shape 30x50x1x1).
Loaded parameters to layer 'nin1' (shape 30).
Loaded parameters to layer 'conv3' (shape 50x30x3x3).
Loaded parameters to layer 'conv3' (shape 50).
Loaded parameters to layer 'conv4' (shape 50x50x3x3).
Loaded parameters to layer 'conv4' (shape 50).
Loaded parameters to layer 'nin2' (shape 30x50x1x1).
Loaded parameters to layer 'nin2' (shape 30).
Loaded parameters to layer 'conv5' (shape 50x30x3x3).
Loaded parameters to layer 'conv5' (shape 50).
Loaded parameters to layer 'output' (shape 450x1024).
Loaded parameters to layer 'output' (shape 1024).
# Neural Network with 538934 learnable parameters

## Layer information

  #  name    size
---  ------  --------
  0  input   4x32x32
  1  conv1   50x30x30
  2  conv2   50x28x28
  3  nin1    30x28x28
  4  pool1   30x14x14
  5  conv3   50x12x12
  6  conv4   50x10x10
  7  nin2    30x10x10
  8  pool2   30x5x5
  9  conv5   50x3x3
 10  output  1024

  epoch    trn loss    val loss    trn/val  dur
    586     0.22948     0.25710    0.89255  2.23s
    587     0.23252     0.21309    1.09119  2.23s
    588     0.23302     0.24026    0.96988  2.25s
    589     0.23562     0.22217    1.06053  2.23s
    590     0.23223     0.21683    1.07102  2.24s
    591     0.23616     0.24945    0.94669  2.22s
    592     0.23397     0.23207    1.00817  2.24s
    593     0.23444     0.23512    0.99713  2.24s
    594     0.23627     0.22419    1.05389  2.23s
    595     0.22834     0.25753    0.88666  2.24s
    596     0.23676     0.25364    0.93342  2.22s
    597     0.23359     0.24679    0.94651  2.24s
    598     0.23059     0.23799    0.96890  2.25s
    599     0.23400     0.21264    1.10042  2.25s
    600     0.23828     0.21526    1.10690  2.24s
training cnn took:  12556.8707509 sec.
put mean in middle of segments  3.63386416435
going through lines took (row-col complete):  5.03043103218 sec.
put mean in middle of segments  4.09842395782
going through lines took (row-col complete):  2.19639897346 sec.
put mean in middle of segments  1.15559101105
going through lines took (row-col complete):  4.00524401665 sec.
put mean in middle of segments  0.637807130814
going through lines took (row-col complete):  1.89574694633 sec.
put mean in middle of segments  1.2637629509
going through lines took (row-col complete):  5.35005402565 sec.
put mean in middle of segments  0.678497076035
